,id,latitude,longitude,bike_scores,walk_scores,property_page_links,transit_scores
49,2998222,39.78271,-104.74694,51,16,https://www.walkscore.com/score/loc/lat=39.78271/lng=-104.74694/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,36.0
50,370209,39.7172,-104.99767,84,79,https://www.walkscore.com/score/loc/lat=39.7172/lng=-104.99767/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,58.0
51,3094167,39.76169,-105.03382,80,91,https://www.walkscore.com/score/loc/lat=39.76169/lng=-105.03382/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,39.0
52,5794938,39.74326,-104.98088,97,96,https://www.walkscore.com/score/loc/lat=39.74326/lng=-104.98088/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,79.0
53,477016,39.74348,-104.97089,97,92,https://www.walkscore.com/score/loc/lat=39.74348/lng=-104.97089/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,56.0
54,5839828,39.71636,-104.97885,98,87,https://www.walkscore.com/score/loc/lat=39.71636/lng=-104.97885/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,51.0
55,5921927,39.73681,-104.91913,78,83,https://www.walkscore.com/score/loc/lat=39.73681/lng=-104.91913/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,49.0
56,3138055,39.73193,-104.97878,99,92,https://www.walkscore.com/score/loc/lat=39.73193/lng=-104.97878/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,50.0
57,504080,39.76574,-104.95379,88,74,https://www.walkscore.com/score/loc/lat=39.76574/lng=-104.95379/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,43.0
58,3217063,39.72955,-104.99609,99,94,https://www.walkscore.com/score/loc/lat=39.72955/lng=-104.99609/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,61.0
59,3334447,39.75049,-104.97555,95,93,https://www.walkscore.com/score/loc/lat=39.75049/lng=-104.97555/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,66.0
60,3338717,39.67652,-104.97801,79,80,https://www.walkscore.com/score/loc/lat=39.67652/lng=-104.97801/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,49.0
61,5966633,39.71396,-104.97608,98,81,https://www.walkscore.com/score/loc/lat=39.71396/lng=-104.97608/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,48.0
62,5990927,39.7507,-104.98245,98,94,https://www.walkscore.com/score/loc/lat=39.7507/lng=-104.98245/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,77.0
63,3341556,39.74972,-104.97222,97,89,https://www.walkscore.com/score/loc/lat=39.74972/lng=-104.97222/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,55.0
64,521072,39.74469,-104.96428,98,91,https://www.walkscore.com/score/loc/lat=39.74469/lng=-104.96428/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,50.0
65,6044888,39.66293,-105.05011,43,42,https://www.walkscore.com/score/loc/lat=39.66293/lng=-105.05011/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,34.0
66,6065081,39.71913,-104.982,98,93,https://www.walkscore.com/score/loc/lat=39.71913/lng=-104.982/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,53.0
67,548897,39.74247,-104.95916,94,92,https://www.walkscore.com/score/loc/lat=39.74247/lng=-104.95916/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,51.0
68,6141491,39.6992,-104.92515,82,58,https://www.walkscore.com/score/loc/lat=39.6992/lng=-104.92515/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,38.0
69,3404692,39.7574,-104.96713,95,86,https://www.walkscore.com/score/loc/lat=39.7574/lng=-104.96713/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,52.0
70,3458369,39.76178,-105.03885,76,89,https://www.walkscore.com/score/loc/lat=39.76178/lng=-105.03885/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,36.0
71,575758,39.76561,-104.97945,98,94,https://www.walkscore.com/score/loc/lat=39.76561/lng=-104.97945/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,59.0
72,3463164,39.64468,-105.0653,16,15,https://www.walkscore.com/score/loc/lat=39.64468/lng=-105.0653/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,27.0
73,3479122,39.75469,-104.98785,99,98,https://www.walkscore.com/score/loc/lat=39.75469/lng=-104.98785/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,76.0
74,3542624,39.73248,-104.99906,98,91,https://www.walkscore.com/score/loc/lat=39.73248/lng=-104.99906/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,63.0
75,6300806,39.76558,-104.96109,89,76,https://www.walkscore.com/score/loc/lat=39.76558/lng=-104.96109/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,50.0
76,604803,39.76704,-105.00331,92,88,https://www.walkscore.com/score/loc/lat=39.76704/lng=-105.00331/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,49.0
77,6348993,39.77037,-105.0135,86,88,https://www.walkscore.com/score/loc/lat=39.77037/lng=-105.0135/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,44.0
78,3562277,39.6631,-104.96774,55,17,https://www.walkscore.com/score/loc/lat=39.6631/lng=-104.96774/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,33.0
79,3605358,39.73308,-104.97996,99,93,https://www.walkscore.com/score/loc/lat=39.73308/lng=-104.97996/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,66.0
80,632709,39.76468,-105.00883,93,93,https://www.walkscore.com/score/loc/lat=39.76468/lng=-105.00883/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,60.0
81,3661135,39.77339,-105.01183,82,88,https://www.walkscore.com/score/loc/lat=39.77339/lng=-105.01183/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,44.0
82,3685552,39.74172,-104.95845,94,90,https://www.walkscore.com/score/loc/lat=39.74172/lng=-104.95845/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,51.0
83,3760606,39.76826,-105.01828,86,85,https://www.walkscore.com/score/loc/lat=39.76826/lng=-105.01828/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,43.0
84,6349335,39.78471,-105.0361,70,67,https://www.walkscore.com/score/loc/lat=39.78471/lng=-105.0361/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,37.0
85,6373869,39.73487,-104.98141,98,94,https://www.walkscore.com/score/loc/lat=39.73487/lng=-104.98141/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,71.0
86,6374807,39.73532,-104.9832,98,96,https://www.walkscore.com/score/loc/lat=39.73532/lng=-104.9832/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,73.0
87,6416196,39.74572,-104.98319,98,97,https://www.walkscore.com/score/loc/lat=39.74572/lng=-104.98319/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,81.0
88,6445171,39.77063,-105.03731,72,89,https://www.walkscore.com/score/loc/lat=39.77063/lng=-105.03731/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,38.0
89,6465896,39.76042,-104.9585,91,70,https://www.walkscore.com/score/loc/lat=39.76042/lng=-104.9585/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,46.0
90,3799043,39.75805,-104.9581,93,66,https://www.walkscore.com/score/loc/lat=39.75805/lng=-104.9581/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,45.0
91,665622,39.7616,-105.01235,89,96,https://www.walkscore.com/score/loc/lat=39.7616/lng=-105.01235/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,65.0
92,3810191,39.77321,-105.02888,64,82,https://www.walkscore.com/score/loc/lat=39.77321/lng=-105.02888/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,42.0
93,3829793,39.74367,-104.97908,97,95,https://www.walkscore.com/score/loc/lat=39.74367/lng=-104.97908/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,76.0
94,676825,39.75706,-104.88374,66,65,https://www.walkscore.com/score/loc/lat=39.75706/lng=-104.88374/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,35.0
95,3939645,39.76869,-104.96832,99,90,https://www.walkscore.com/score/loc/lat=39.76869/lng=-104.96832/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,56.0
96,6516553,39.67565,-104.94207,68,88,https://www.walkscore.com/score/loc/lat=39.67565/lng=-104.94207/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,56.0
97,3960763,39.68769,-104.98715,78,89,https://www.walkscore.com/score/loc/lat=39.68769/lng=-104.98715/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,57.0
98,715123,39.69381,-104.98364,85,80,https://www.walkscore.com/score/loc/lat=39.69381/lng=-104.98364/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,63.0
99,4000181,39.760994,-104.996796,97,79,https://www.walkscore.com/score/loc/lat=39.760994/lng=-104.996796/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,78.0
100,6578731,39.77986,-104.75385,55,30,https://www.walkscore.com/score/loc/lat=39.77986/lng=-104.75385/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,37.0
101,6678066,39.75021,-104.97909,97,95,https://www.walkscore.com/score/loc/lat=39.75021/lng=-104.97909/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,72.0
102,4052272,39.76146,-104.9503,90,66,https://www.walkscore.com/score/loc/lat=39.76146/lng=-104.9503/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,46.0
103,746298,39.72535,-104.89616,80,70,https://www.walkscore.com/score/loc/lat=39.72535/lng=-104.89616/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,37.0
104,6701936,39.76213,-104.9638,93,80,https://www.walkscore.com/score/loc/lat=39.76213/lng=-104.9638/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,53.0
105,756594,39.74027,-104.91516,76,83,https://www.walkscore.com/score/loc/lat=39.74027/lng=-104.91516/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,50.0
106,6730800,39.71819,-104.99031,87,95,https://www.walkscore.com/score/loc/lat=39.71819/lng=-104.99031/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,58.0
107,6796745,39.75255,-104.98133,99,94,https://www.walkscore.com/score/loc/lat=39.75255/lng=-104.98133/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,72.0
108,4077803,39.77016,-105.01992,83,85,https://www.walkscore.com/score/loc/lat=39.77016/lng=-105.01992/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,42.0
109,4080404,39.75546,-104.95573,91,53,https://www.walkscore.com/score/loc/lat=39.75546/lng=-104.95573/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,41.0
110,761858,39.75132,-104.93423,89,65,https://www.walkscore.com/score/loc/lat=39.75132/lng=-104.93423/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,43.0
111,4121643,39.70876,-104.89068,56,30,https://www.walkscore.com/score/loc/lat=39.70876/lng=-104.89068/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,32.0
112,4137490,39.74458,-104.99588,94,95,https://www.walkscore.com/score/loc/lat=39.74458/lng=-104.99588/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,86.0
113,6846954,39.75841,-104.98734,99,97,https://www.walkscore.com/score/loc/lat=39.75841/lng=-104.98734/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,70.0
114,6854536,39.78606,-105.04065,62,55,https://www.walkscore.com/score/loc/lat=39.78606/lng=-105.04065/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,31.0
115,774712,39.74245,-104.9681,91,95,https://www.walkscore.com/score/loc/lat=39.74245/lng=-104.9681/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,54.0
116,776434,39.68403,-104.98296,82,77,https://www.walkscore.com/score/loc/lat=39.68403/lng=-104.98296/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,57.0
117,4180622,39.77658,-105.04629,68,92,https://www.walkscore.com/score/loc/lat=39.77658/lng=-105.04629/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,32.0
118,4224189,39.72449,-104.99843,80,88,https://www.walkscore.com/score/loc/lat=39.72449/lng=-104.99843/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,56.0
119,4236002,39.7524,-104.92175,86,64,https://www.walkscore.com/score/loc/lat=39.7524/lng=-104.92175/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,37.0
120,6869896,39.74392,-104.94826,81,73,https://www.walkscore.com/score/loc/lat=39.74392/lng=-104.94826/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,51.0
121,6913874,39.71691,-104.97833,98,87,https://www.walkscore.com/score/loc/lat=39.71691/lng=-104.97833/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,51.0
122,785140,39.78097,-105.01723,78,74,https://www.walkscore.com/score/loc/lat=39.78097/lng=-105.01723/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,41.0
123,852934,39.6735,-104.92938,64,47,https://www.walkscore.com/score/loc/lat=39.6735/lng=-104.92938/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,56.0
124,6954236,39.75684,-104.85525,37,20,https://www.walkscore.com/score/loc/lat=39.75684/lng=-104.85525/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,47.0
125,7047991,39.72915,-104.97076,90,89,https://www.walkscore.com/score/loc/lat=39.72915/lng=-104.97076/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,42.0
126,7070662,39.73951,-104.95903,90,93,https://www.walkscore.com/score/loc/lat=39.73951/lng=-104.95903/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,52.0
127,4241536,39.76387,-105.03138,80,92,https://www.walkscore.com/score/loc/lat=39.76387/lng=-105.03138/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,41.0
128,4267851,39.74967,-104.93296,92,63,https://www.walkscore.com/score/loc/lat=39.74967/lng=-104.93296/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,44.0
129,4288813,39.75731,-104.98313,99,98,https://www.walkscore.com/score/loc/lat=39.75731/lng=-104.98313/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,64.0
130,4294257,39.73975,-104.94838,92,90,https://www.walkscore.com/score/loc/lat=39.73975/lng=-104.94838/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,53.0
131,4350594,39.72904,-104.92346,71,68,https://www.walkscore.com/score/loc/lat=39.72904/lng=-104.92346/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,37.0
132,7070674,39.67107,-104.9856,58,66,https://www.walkscore.com/score/loc/lat=39.67107/lng=-104.9856/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,55.0
133,7071425,39.67107,-104.9856,58,66,https://www.walkscore.com/score/loc/lat=39.67107/lng=-104.9856/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,55.0
134,4383018,39.73524,-104.94417,87,81,https://www.walkscore.com/score/loc/lat=39.73524/lng=-104.94417/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,53.0
135,915016,39.73572,-104.97783,99,93,https://www.walkscore.com/score/loc/lat=39.73572/lng=-104.97783/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,66.0
136,4384783,39.73116,-104.93282,83,65,https://www.walkscore.com/score/loc/lat=39.73116/lng=-104.93282/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,39.0
137,7091323,39.70989,-104.91529,77,64,https://www.walkscore.com/score/loc/lat=39.70989/lng=-104.91529/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,42.0
138,921485,39.75838,-105.01479,91,95,https://www.walkscore.com/score/loc/lat=39.75838/lng=-105.01479/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,64.0
139,4416289,39.72322,-104.95696,82,88,https://www.walkscore.com/score/loc/lat=39.72322/lng=-104.95696/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,43.0
